Component,Quantity,Unit Price,Total Price,Link
PCB (assembled),1,55.38 USD (35.38 + 20 shipping),55.38 USD,
XIAO ESP32-C6,1,15.63 CAD (8.19 + 7.01 shipping + 0.43 antenna),15.63 CAD,https://www.aliexpress.com/item/1005006935181127.html
"JST XH Connector Set (2-pin x3, 3-pin x1, 4-pin x1)",1,6.92 CAD,6.92 CAD,https://www.aliexpress.com/item/1005009383841966.html
Battery 503759 (1200mAh),3,14.94 CAD (pack of 3),14.94 CAD,https://www.aliexpress.com/item/1005007102975858.html
M3x6 Screws,18,,,
M3x4x5 Heat Inserts,18,7.55 CAD,7.55 CAD,https://www.aliexpress.com/item/1005009193787820.html
Pogo Pins Connector 1x4 Male 4mm,6,3.32 CAD,19.92 CAD,https://www.aliexpress.com/item/1005005380466642.html
Pogo Pins Connector 1x4 Female 4mm,6,3.48 CAD,20.88 CAD,https://www.aliexpress.com/item/1005005380466642.html
Magnets 6x3mm,18,11.24 CAD (4.33 + 6.91 shipping),11.24 CAD,https://www.aliexpress.com/item/1005009258751295.html
Magnets 6x2mm,4,12.09 CAD (2.89 + 9.20 shipping),12.09 CAD,https://www.aliexpress.com/item/1005009461555694.html
PLA Filament,~150g,Already own,0.00,
TOTAL,,,134.42 USD,
